species,climate,plot_id,treatment,individual,individual_id,season,seeds_flowerhead,
Sca_och,future,7_2,supplement,S1,7_2_S1,fall,26.7,
Sca_och,future,7_2,supplement,S2,7_2_S2,fall,23.6,
Sca_och,future,7_2,supplement,S3,7_2_S3,fall,33.2,
Sca_och,future,9_1,control,C2,9_1_C2,fall,29.5,
Sca_och,future,9_1,supplement,S2,9_1_S2,fall,17.6,
Sca_och,future,9_1,supplement,S3,9_1_S3,fall,26.0,
Sca_och,future,9_1,supplement,S4,9_1_S4,fall,10.3,
Sca_och,ambient,1_1,control,C2,1_1_C2,summer,39.0,
Sca_och,ambient,1_1,control,C4,1_1_C4,summer,24.7,
Sca_och,ambient,1_1,supplement,S1,1_1_S1,summer,40.9,
Sca_och,ambient,1_1,supplement,S2,1_1_S2,summer,39.8,
Sca_och,ambient,1_1,supplement,S3,1_1_S3,summer,39.0,
Sca_och,ambient,10_2,supplement,S2,10_2_S2,summer,5.8,
Sca_och,ambient,10_2,supplement,S3,10_2_S3,summer,9.5,
Sca_och,ambient,10_2,supplement,S4,10_2_S4,summer,21.0,
Sca_och,ambient,3_4,control,C1,3_4_C1,summer,33.5,
Sca_och,ambient,3_4,control,C2,3_4_C2,summer,10.0,
Sca_och,ambient,3_4,control,C3,3_4_C3,summer,59.8,
Sca_och,ambient,3_4,control,C4,3_4_C4,summer,33.0,
Sca_och,ambient,3_4,supplement,S1,3_4_S1,summer,48.0,
Sca_och,ambient,3_4,supplement,S3,3_4_S3,summer,44.7,
Sca_och,ambient,3_4,supplement,S4,3_4_S4,summer,36.3,
Sca_och,ambient,5_5,control,C1,5_5_C1,summer,36.8,
Sca_och,ambient,5_5,control,C3,5_5_C3,summer,32.0,
Sca_och,ambient,5_5,supplement,S1,5_5_S1,summer,21.4,
Sca_och,ambient,5_5,supplement,S2,5_5_S2,summer,46.0,
Sca_och,ambient,5_5,supplement,S3,5_5_S3,summer,32.7,
Sca_och,ambient,5_5,supplement,S4,5_5_S4,summer,41.2,
Sca_och,ambient,8_3,control,C1,8_3_C1,summer,20.3,
Sca_och,ambient,8_3,control,C3,8_3_C3,summer,39.7,
Sca_och,ambient,8_3,supplement,S2,8_3_S2,summer,0.0,
Sca_och,ambient,8_3,supplement,S3,8_3_S3,summer,28.8,
Sca_och,future,2_5,control,C1,2_5_C1,summer,30.8,
Sca_och,future,2_5,control,C2,2_5_C2,summer,18.4,
Sca_och,future,2_5,control,C4,2_5_C4,summer,36.5,
Sca_och,future,2_5,supplement,S1,2_5_S1,summer,39.9,
Sca_och,future,2_5,supplement,S2,2_5_S2,summer,19.0,
Sca_och,future,2_5,supplement,S3,2_5_S3,summer,44.0,
Sca_och,future,2_5,supplement,S4,2_5_S4,summer,44.3,
Sca_och,future,4_4,control,C1,4_4_C1,summer,36.5,
Sca_och,future,4_4,control,C2,4_4_C2,summer,23.2,
Sca_och,future,4_4,supplement,S2,4_4_S2,summer,19.3,
Sca_och,future,4_4,supplement,S4,4_4_S4,summer,30.8,
Sca_och,future,6_3,control,C1,6_3_C1,summer,46.5,
Sca_och,future,6_3,control,C2,6_3_C2,summer,63.0,
Sca_och,future,6_3,control,C4,6_3_C4,summer,38.3,
Sca_och,future,6_3,supplement,S1,6_3_S1,summer,37.0,
Sca_och,future,6_3,supplement,S2,6_3_S2,summer,30.5,
Sca_och,future,6_3,supplement,S3,6_3_S3,summer,34.0,
Sca_och,future,6_3,supplement,S4,6_3_S4,summer,44.3,
Sca_och,future,7_2,control,C1,7_2_C1,summer,45.4,
Sca_och,future,7_2,control,C2,7_2_C2,summer,35.5,
Sca_och,future,7_2,control,C3,7_2_C3,summer,38.0,
Sca_och,future,7_2,supplement,S1,7_2_S1,summer,30.4,
Sca_och,future,7_2,supplement,S3,7_2_S3,summer,35.5,
Sca_och,future,9_1,supplement,S2,9_1_S2,summer,22.2,
Sca_och,future,9_1,supplement,S4,9_1_S4,summer,15.6,
