species,climate,plot_id,treatment,individual,individual_id,season,status,Seeds_capsule
Dia_car,future,9_1,supplement,S2,9_1_S2,fall,ripe_capsule,0.7
Dia_car,ambient,1_1,supplement,S3,1_1_S3,fall,ripe_capsule,21.7
Dia_car,ambient,10_2,supplement,S3,10_2_S3,fall,ripe_capsule,21.9
Dia_car,ambient,5_5,supplement,S3,5_5_S3,fall,ripe_capsule,18.5
Dia_car,ambient,8_3,supplement,S3,8_3_S3,fall,ripe_capsule,23.2
Dia_car,future,2_5,supplement,S3,2_5_S3,fall,ripe_capsule,30.8
Dia_car,future,4_4,supplement,S3,4_4_S3,fall,ripe_capsule,38.0
Dia_car,future,6_3,supplement,S3,6_3_S3,fall,ripe_capsule,30.6
Dia_car,future,7_2,supplement,S3,7_2_S3,fall,ripe_capsule,59.0
Dia_car,ambient,1_1,supplement,S4,1_1_S4,fall,ripe_capsule,28.8
Dia_car,ambient,10_2,supplement,S4,10_2_S4,fall,ripe_capsule,24.8
Dia_car,ambient,3_4,supplement,S4,3_4_S4,fall,ripe_capsule,30.8
Dia_car,ambient,5_5,supplement,S4,5_5_S4,fall,ripe_capsule,21.1
Dia_car,ambient,8_3,supplement,S4,8_3_S4,fall,ripe_capsule,18.3
Dia_car,future,2_5,supplement,S4,2_5_S4,fall,ripe_capsule,19.3
Dia_car,future,4_4,supplement,S4,4_4_S4,fall,ripe_capsule,13.0
Dia_car,future,6_3,supplement,S4,6_3_S4,fall,ripe_capsule,49.5
Dia_car,future,7_2,supplement,S4,7_2_S4,fall,ripe_capsule,29.7
Dia_car,ambient,1_1,control,C1,1_1_C1,summer,ripe_capsule,25.0
Dia_car,ambient,10_2,control,C1,10_2_C1,summer,ripe_capsule,12.0
Dia_car,ambient,5_5,control,C1,5_5_C1,summer,ripe_capsule,35.7
Dia_car,ambient,8_3,control,C1,8_3_C1,summer,ripe_capsule,39.7
Dia_car,future,2_5,control,C1,2_5_C1,summer,ripe_capsule,45.7
Dia_car,future,4_4,control,C1,4_4_C1,summer,ripe_capsule,24.7
Dia_car,future,6_3,control,C1,6_3_C1,summer,ripe_capsule,35.0
Dia_car,future,9_1,control,C1,9_1_C1,summer,ripe_capsule,29.5
Dia_car,ambient,1_1,control,C2,1_1_C2,summer,ripe_capsule,39.4
Dia_car,ambient,10_2,control,C2,10_2_C2,summer,ripe_capsule,50.0
Dia_car,ambient,3_4,control,C2,3_4_C2,summer,ripe_capsule,17.1
Dia_car,ambient,5_5,control,C2,5_5_C2,summer,ripe_capsule,17.5
Dia_car,ambient,8_3,control,C2,8_3_C2,summer,ripe_capsule,15.6
Dia_car,future,2_5,control,C2,2_5_C2,summer,ripe_capsule,28.4
Dia_car,future,4_4,control,C2,4_4_C2,summer,ripe_capsule,27.5
Dia_car,future,6_3,control,C2,6_3_C2,summer,ripe_capsule,23.5
Dia_car,future,7_2,control,C2,7_2_C2,summer,ripe_capsule,36.5
Dia_car,future,9_1,control,C2,9_1_C2,summer,ripe_capsule,7.3
Dia_car,ambient,1_1,control,C3,1_1_C3,summer,ripe_capsule,9.5
Dia_car,ambient,10_2,control,C3,10_2_C3,summer,ripe_capsule,28.8
Dia_car,ambient,5_5,control,C3,5_5_C3,summer,ripe_capsule,21.0
Dia_car,future,2_5,control,C3,2_5_C3,summer,ripe_capsule,34.1
Dia_car,future,4_4,control,C3,4_4_C3,summer,ripe_capsule,24.8
Dia_car,future,6_3,control,C3,6_3_C3,summer,ripe_capsule,26.6
Dia_car,future,7_2,control,C3,7_2_C3,summer,ripe_capsule,25.3
Dia_car,future,9_1,control,C3,9_1_C3,summer,ripe_capsule,37.0
Dia_car,ambient,1_1,control,C4,1_1_C4,summer,ripe_capsule,43.6
Dia_car,ambient,10_2,control,C4,10_2_C4,summer,ripe_capsule,26.4
Dia_car,ambient,3_4,control,C4,3_4_C4,summer,ripe_capsule,42.0
Dia_car,ambient,5_5,control,C4,5_5_C4,summer,ripe_capsule,19.0
Dia_car,ambient,8_3,control,C4,8_3_C4,summer,ripe_capsule,13.6
Dia_car,future,2_5,control,C4,2_5_C4,summer,ripe_capsule,34.0
Dia_car,future,4_4,control,C4,4_4_C4,summer,ripe_capsule,13.0
Dia_car,future,6_3,control,C4,6_3_C4,summer,ripe_capsule,27.5
Dia_car,future,7_2,control,C4,7_2_C4,summer,ripe_capsule,25.0
Dia_car,ambient,1_1,supplement,S1,1_1_S1,summer,ripe_capsule,29.5
Dia_car,ambient,10_2,supplement,S1,10_2_S1,summer,ripe_capsule,21.6
Dia_car,ambient,3_4,supplement,S1,3_4_S1,summer,ripe_capsule,27.8
Dia_car,ambient,5_5,supplement,S1,5_5_S1,summer,ripe_capsule,43.7
Dia_car,future,6_3,supplement,S1,6_3_S1,summer,ripe_capsule,61.7
Dia_car,future,7_2,supplement,S1,7_2_S1,summer,ripe_capsule,16.0
Dia_car,ambient,1_1,supplement,S2,1_1_S2,summer,ripe_capsule,14.1
Dia_car,ambient,10_2,supplement,S2,10_2_S2,summer,ripe_capsule,32.0
Dia_car,ambient,3_4,supplement,S2,3_4_S2,summer,ripe_capsule,20.1
Dia_car,ambient,5_5,supplement,S2,5_5_S2,summer,ripe_capsule,35.1
Dia_car,future,6_3,supplement,S2,6_3_S2,summer,ripe_capsule,34.8
Dia_car,future,9_1,supplement,S2,9_1_S2,summer,ripe_capsule,15.2
Dia_car,ambient,1_1,supplement,S3,1_1_S3,summer,ripe_capsule,28.3
Dia_car,ambient,10_2,supplement,S3,10_2_S3,summer,ripe_capsule,25.5
Dia_car,ambient,3_4,supplement,S3,3_4_S3,summer,ripe_capsule,10.0
Dia_car,ambient,5_5,supplement,S3,5_5_S3,summer,ripe_capsule,24.0
Dia_car,ambient,8_3,supplement,S3,8_3_S3,summer,ripe_capsule,31.5
Dia_car,future,6_3,supplement,S3,6_3_S3,summer,ripe_capsule,28.8
Dia_car,future,7_2,supplement,S3,7_2_S3,summer,ripe_capsule,69.0
Dia_car,future,9_1,supplement,S3,9_1_S3,summer,ripe_capsule,26.0
Dia_car,ambient,1_1,supplement,S4,1_1_S4,summer,ripe_capsule,41.3
Dia_car,ambient,10_2,supplement,S4,10_2_S4,summer,ripe_capsule,18.8
Dia_car,ambient,3_4,supplement,S4,3_4_S4,summer,ripe_capsule,21.5
Dia_car,ambient,5_5,supplement,S4,5_5_S4,summer,ripe_capsule,16.3
Dia_car,ambient,8_3,supplement,S4,8_3_S4,summer,ripe_capsule,21.1
Dia_car,future,2_5,supplement,S4,2_5_S4,summer,ripe_capsule,23.8
Dia_car,future,4_4,supplement,S4,4_4_S4,summer,ripe_capsule,12.0
Dia_car,future,6_3,supplement,S4,6_3_S4,summer,ripe_capsule,47.0

